userName,score,date,thumbsUpCount,comment
왕자,1,2021-08-26,0,처음에는 금리도 싸고 하더니 지금은 시중은행보다 비싸짐
gkfjf rurj,1,2021-08-26,0,보안이 너무 허술한거같아요 해킹 당해서 재산 도둑 맞을까봐 카뱅에 돈못넣겠어요
김경숙,5,2021-08-26,0,만족합니다 보편적
임한솔,1,2021-08-25,107,계좌해지하고 다시 만드는데 영상통화로 인증하는법 말고 실수로 다른 계좌로 인증하기 눌렀는데 계속 전단계로 안돌아가지고 계속 다른 계좌 입력하라고 뜨네요 버그인지 아닌지는 잘 모르겠는데 굉장히 어이가없네요 다른 은행 계좌도없는데 그러면 30일동안 기다렸다가 계좌개설신청하기 기간 만료돼면 그때 새로 만들어야하는건가요 이런점에서는 정말 별로네요 카카오뱅크 실망입니다
말짱,5,2021-08-25,39,"거의 5년간 너무 잘쓰는 중입니다! 세이프 박스기능, 수수료 10회 무료 카카오 뱅크의 다른 상품은 안 써봤지만 간편한 인터넷 뱅킹의 출발을 알린 앱이 아닌가 합니다."
신유철,5,2021-08-25,0,최고예요
이미진,1,2021-08-25,0,아깝네별주기
정승오,5,2021-08-25,1,좋아요 청소년이여서 미니 카드 쓰는데 너무 좋아요 계좌도 생기고 ㅎㅎ
Guil Sim,5,2021-08-25,0,좋아요
혜원,1,2021-08-25,1,계속 맞는데 본인확인정보떠서 못하겠어여
이경우,5,2021-08-25,0,만족합니다
_벚꽃,1,2021-08-25,0,신분증을 봇이 검사하는데 빛 반사로인해 사용금지 당햇음. 최악
서영채,1,2021-08-25,0,다운로드 정말 힘듬
제이은,1,2021-08-25,12,다른은행에서 가져오기 할 때 돈있는데도 잔액 계속 0 으로 떠있어요. 실시간반영이 제대로 안되네요ㅡㅡ
배어진,5,2021-08-25,0,👍🏻
최광천,1,2021-08-25,0,갤럭시 폴드3를 사용하는데 어플이 깔리지 않네요
이우철,5,2021-08-25,0,좋은 은행 어플입니다.
성현,1,2021-08-24,4,아니..신분증 제출 하래서 제한 풀어줘놓고..얼마 안되서 또 제한 먹이네요;;;;카드 그거 하나밖에 없는데 돈쓸때가 많고 빠져 나가는데가 많은데 참..불편하네요
선발,5,2021-08-24,0,좋아요 감사합니다
김명희,4,2021-08-24,1,조금복잡하나곧숙지해서잘사용해여보자
김기홍,5,2021-08-24,0,계좌펀호가 잘기억 나지않음
김승용,5,2021-08-24,0,굳입니다
최병진,1,2021-08-24,0,이체하려고 금액입력하면 튕김 ㅋㅋ아오
송성옥,4,2021-08-24,0,.제주도 여행 많이 ㅅ두목회 ㅈㆍ
최상필,3,2021-08-24,0,업데이트가 안되요
정훈,5,2021-08-24,0,좋인요
박기태,5,2021-08-24,1,굿
