WORD,TAG,reinforcer,score,count
과,NNG,1,0,7
과감,XR,1,0,2
과감히,MAG,1,0,3
과거,NNG,1,0,19
과금,NNP,1,0,2
과다,NNG,1,0,3
과대,XR,1,0,1
과도,NNG,1,0,3
과도기,NNG,1,0,1
과목,NNG,1,0,1
과문,NNG,1,0,1
과부,NNG,1,0,1
과분,XR,1,0,4
과실,NNP,1,0,2
과언,NNG,1,0,4
과연,MAG,1,0,9
과열,NNG,1,0,1
과잉,NNG,1,0,3
과장,NNG,1,0,5
과정,NNG,1,0,114
과제,NNG,1,0,2
과태료,NNP,1,0,1
과학,NNG,1,0,1
곽,NNP,1,0,1
관계,NNG,1,0,7
관계사,NNG,1,0,2
관계없이,MAG,1,0,4
관계자,NNG,1,0,10
관공서,NNG,1,0,2
관념,NNG,1,0,1
관두,VV,1,0,1
관력,NNG,1,0,3
관련,NNG,1,0,564
관련사,NNG,1,0,1
관련성,NNP,1,0,1
관련자,NNG,1,0,8
관료제,NNP,1,0,1
관리,NNG,1,0,1018
관리,NNP,1,0,210
관리도,NNP,1,0,115
관리비,NNG,1,0,6
관리자,NNG,1,0,14
관리자,NNP,1,0,28
관문,NNG,1,0,1
관상,NNG,1,0,2
관성,NNP,1,0,1
관심,NNG,1,0,49
관심사,NNG,1,0,1
관심종목,NNG,1,0,16
관용,NNP,1,0,1
관저동,NNP,1,0,1
관점,NNG,1,0,12
관하,VV,1,0,21
괄호,NNP,1,0,3
광,NNG,1,0,3
광고,NNG,1,0,350
광고,NNP,1,0,19
광고비,NNG,1,0,2
광고지,NNG,1,0,1
광고판,NNG,1,0,4
광도,NNP,1,0,1
광범위,NNG,1,0,1
광복절,NNP,1,0,1
광장,NNP,1,0,2
광주은행,NNP,1,0,4
괘,NNG,1,0,8
괘씸,XR,1,0,1
괜찮,VA,1,0,372
괜찮아,NNP,1,0,2
괜찮아 유,NNP,1,0,1
괜하,VA,1,0,1
괜히,MAG,1,0,48
괴,VV,1,0,4
괴롭,VA,1,0,1
괴롭히,VV,1,0,1
괴리감,NNG,1,0,1
굉장,XR,1,0,3
굉장히,MAG,1,0,137
교,NNG,1,0,3
교대,NNP,1,0,1
교묘,XR,1,0,3
교묘히,MAG,1,0,1
교보문고,NNP,1,0,1
교사,NNG,1,0,1
교육,NNG,1,0,11
교체,NNG,1,0,26
교통,NNG,1,0,5
교통,NNP,1,0,4
